# x_1,x_2,Class_label
2.75541748e-04,5.96558548e-01,1
1.64880255e+00,-1.81251029e-01,1
1.15240012e+00,2.73677898e-02,0
-8.14513152e-02,-2.60378029e-01,1
5.92558716e-01,8.25944190e-01,0
1.69840370e+00,-5.87396296e-01,1
7.39829845e-01,-4.12739358e-01,1
2.05403637e-01,4.83310467e-01,1
2.01994713e+00,-5.74433124e-02,1
6.80319656e-01,7.77980663e-01,0
1.86043788e+00,-6.32801364e-02,1
-9.25858254e-03,5.61099517e-01,1
7.09922840e-01,-3.55732750e-02,0
-1.24811952e+00,8.66933876e-01,0
1.36301410e+00,-5.01253315e-01,1
1.02934284e+00,-4.68858288e-01,1
1.09622937e+00,4.06993653e-01,0
-2.78833546e-02,1.37148178e-01,1
-3.50771667e-01,8.33134920e-01,0
2.01032295e+00,-4.02666759e-01,1
9.94426621e-02,7.47050486e-01,0
3.77838037e-01,7.91076440e-01,0
-8.09264903e-01,3.03973115e-01,0
-1.11784193e+00,4.66854999e-01,0
-9.17726030e-01,-1.01934968e-01,0
5.76955127e-01,7.62786024e-01,0
2.73963090e-01,1.12442526e-01,1
1.28583442e-01,-1.08527268e-01,1
7.27471514e-01,-3.25552084e-01,1
1.22526005e+00,1.08401943e-01,0
5.72186393e-01,8.02699029e-01,0
1.29870107e-01,-9.90829458e-02,1
-1.71407912e-01,8.86240161e-01,0
-5.01267704e-01,8.00205248e-01,0
4.11605309e-01,6.26532443e-01,0
1.82136224e+00,2.59349989e-01,1
6.61240043e-01,-2.68305009e-01,1
1.98984355e-01,5.42261871e-01,1
-4.48655263e-01,8.45206105e-01,0
7.94674517e-01,4.06026886e-01,0
1.90256553e+00,3.93348658e-01,1
1.69408511e+00,-1.97304030e-01,1
-1.52298193e-02,6.86387354e-01,0
1.36809926e-01,5.06251386e-01,1
-9.22567034e-01,3.21683358e-01,0
3.78966583e-01,-4.07594891e-01,1
7.77176500e-01,7.06454541e-01,0
2.11027578e+00,2.87298981e-01,1
-7.79646253e-01,9.82423061e-01,0
-6.18677601e-02,-3.43911228e-01,1
5.10586084e-01,-2.54300610e-02,1
5.20741416e-01,-1.48747435e-01,1
1.97779196e-01,-5.76132274e-01,1
8.31128036e-01,-3.33317390e-01,1
-2.17232295e-01,6.82715720e-01,0
1.09918614e+00,6.45741014e-02,0
-7.07909501e-01,5.57436648e-01,0
1.81879925e-01,3.27911643e-01,1
2.03739220e+00,9.71351521e-02,1
1.25760522e-01,-2.03874116e-01,1
7.96999745e-01,6.39578616e-01,0
4.28419483e-01,-5.46284265e-01,1
-4.61720127e-01,4.46386517e-01,0
1.16589225e-01,1.03657778e+00,0
1.75607100e+00,-2.25503305e-01,1
9.68369522e-01,3.84993776e-01,0
6.96885375e-02,-1.74647892e-01,1
1.01271694e+00,4.97984393e-01,0
-1.08927399e+00,7.39014180e-01,0
-5.12355512e-01,7.18042372e-01,0
1.67134292e+00,-4.07174634e-01,1
-1.30901304e+00,1.32599934e-01,0
-7.63378225e-01,-5.01881171e-02,0
1.57099440e+00,-8.19744851e-02,1
4.13786750e-01,9.44812653e-01,0
1.68099380e+00,-1.32705749e-01,1
1.91038208e+00,3.96486650e-02,1
-1.00323546e+00,7.47782933e-02,0
-8.42213035e-01,2.99364213e-01,0
1.33732783e-02,2.62499242e-01,1
-7.49136411e-01,2.05986347e-01,0
8.05703033e-01,3.40314685e-01,0
6.36668963e-01,8.84210561e-01,0
-8.00786326e-02,8.51897088e-01,0
1.15355433e+00,3.59766953e-02,0
9.59244236e-01,-6.31109084e-01,1
1.91609600e-01,-3.31299613e-01,1
-6.63928578e-01,6.84330033e-01,0
-3.58337590e-01,1.49980071e-01,1
5.45558986e-01,4.22117174e-01,1
4.13081948e-01,1.22433206e+00,0
5.57223294e-01,-4.70445361e-01,1
-1.14485307e+00,4.31636027e-02,0
1.33194599e+00,-3.11427647e-01,1
1.17938611e-01,1.05039091e+00,0
2.08544569e+00,-5.89973536e-02,1
3.08936093e-01,-5.01245543e-01,1
2.07393761e+00,-1.64921809e-01,1
-8.20409190e-01,2.02637027e-01,0
7.81662766e-01,6.72742699e-01,0
1.58535182e+00,7.03416948e-01,1
1.53290397e+00,-2.96723137e-01,1
1.28029712e+00,7.67321820e-01,0
2.42889137e-04,4.48960595e-01,1
6.13109854e-01,9.79837101e-01,0
1.30537464e+00,-9.99924232e-02,0
-2.67735132e-01,2.94091184e-01,1
4.86095423e-01,-4.25507088e-01,1
2.78146759e-01,-3.33011442e-01,1
1.44687603e+00,-1.31626510e-02,1
-7.30366309e-01,3.51889868e-01,0
1.09619341e+00,-3.14487063e-01,1
6.57536658e-01,1.13902278e+00,0
1.22548319e+00,1.73091641e-01,0
-4.71080644e-01,5.78209627e-01,0
-2.86663663e-01,1.29898261e+00,0
3.28106173e-01,8.00078391e-01,0
-9.84606507e-01,-1.81845226e-01,0
1.46591012e+00,-7.32884472e-01,1
1.70882651e+00,-3.67901427e-01,1
9.91581423e-01,-4.83391122e-01,1
1.00358039e+00,5.18740300e-01,0
7.18904053e-01,-3.97165312e-01,1
1.52618408e+00,-6.93647568e-01,1
6.19444625e-01,7.42614056e-03,1
8.52333043e-01,2.87923217e-01,0
9.10594697e-01,5.52754120e-01,0
-4.53383911e-01,8.51643540e-01,0
-1.23380529e-01,8.97301356e-01,0
-5.64420045e-01,8.03820800e-01,0
-7.12600672e-01,7.81910407e-01,0
4.72394627e-01,-5.92155641e-01,1
1.86425666e+00,4.11207270e-01,1
-1.68097464e-02,-2.27965306e-01,1
1.42438966e-03,8.23347978e-01,0
6.04531018e-01,1.00879373e+00,0
5.83140982e-01,-5.66472912e-01,1
2.54826513e-01,-1.55808462e-01,1
7.00868511e-01,6.64135107e-01,0
4.90457619e-02,1.00802925e+00,0
1.11898417e+00,1.20600228e-01,0
1.29009125e+00,2.93591634e-02,1
1.02929917e+00,1.24990246e-01,0
-8.20870696e-01,-1.69378458e-01,0
1.03806692e+00,-5.71064474e-01,1
4.00541796e-01,-2.10678382e-01,1
1.27278097e-01,1.23679232e+00,0
4.75696277e-01,7.13985856e-01,0
3.11074146e-01,1.26360184e+00,0
-1.42800978e-01,1.19821323e+00,0
5.31447459e-01,-6.41356495e-01,1
2.19035180e-01,3.13949674e-01,1
8.25686849e-02,1.16920493e+00,0
-6.52912266e-01,9.02821274e-01,0
4.38052253e-01,-1.23215253e-03,1
-9.00462606e-01,1.88488574e-01,0
2.92359836e-02,9.67113234e-01,0
-8.60962191e-01,9.27859513e-01,0
