id,emp,comp,lastratingdate,left
2228,939,phcvroct,17-10-2016,1
4349,250,jblrepyr,19-03-2017,0
945,134,ewpvmfbc,21-09-2016,0
4553,164,wsmblohy,17-03-2017,0
941,129,ewpvmfbc,04-04-2016,0
2694,258,ujplihug,06-02-2017,0
235,277,bnivzbfi,03-01-2017,0
2289,18,rcwkfavv,20-03-2017,0
3662,21,jnvpfmup,14-03-2017,0
4270,108,jblrepyr,07-12-2016,0
3022,28,nmxkgvmi,25-10-2016,0
4183,259,jblrepyr,20-12-2016,0
227,269,bnivzbfi,20-03-2017,0
4614,270,wsmblohy,23-02-2017,1
4332,224,jblrepyr,02-11-2016,0
4686,457,wsmblohy,20-03-2017,0
3877,209,bhqczwkj,15-03-2017,0
360,3,oecfwdaq,07-02-2015,0
2135,726,phcvroct,10-08-2016,1
3691,70,spfcrgea,21-03-2016,0
4325,207,jblrepyr,27-12-2016,0
2833,4,azalutpt,25-11-2014,0
2325,82,rcwkfavv,01-03-2017,0
671,240,yodaczsb,11-10-2016,1
2839,13,azalutpt,12-12-2014,0
4806,819,wsmblohy,20-03-2017,0
3919,255,bhqczwkj,22-02-2017,0
611,141,yodaczsb,10-10-2016,1
2560,64,ujplihug,14-06-2016,0
4815,830,wsmblohy,10-03-2017,0
2482,300,rcwkfavv,20-03-2017,0
1973,349,phcvroct,16-01-2017,0
3354,376,siexkzzo,17-03-2017,0
3233,199,siexkzzo,02-10-2016,0
4835,850,wsmblohy,17-03-2017,0
712,315,yodaczsb,17-03-2017,0
4649,352,wsmblohy,17-03-2017,0
2115,655,phcvroct,28-06-2016,0
3886,218,bhqczwkj,20-03-2017,0
3908,242,bhqczwkj,08-03-2017,0
952,143,ewpvmfbc,08-11-2016,0
3731,14,bhqczwkj,16-03-2017,0
642,186,yodaczsb,05-12-2016,1
3849,173,bhqczwkj,17-03-2017,0
2029,470,phcvroct,21-08-2015,1
2414,193,rcwkfavv,13-10-2016,0
2274,9,rcwkfavv,07-10-2016,1
880,33,ewpvmfbc,03-11-2016,0
4241,59,jblrepyr,14-03-2017,0
4047,64,ydqdpmvi,20-03-2017,0
30,531,bnivzbfi,18-03-2017,0
176,208,bnivzbfi,21-03-2016,0
3945,291,bhqczwkj,17-03-2017,0
1314,37,ugldwwzf,06-03-2017,0
1533,33,phcvroct,29-07-2016,0
755,48,ocsicwng,17-03-2017,0
2524,5,ujplihug,15-07-2016,0
1959,322,phcvroct,25-10-2016,0
1176,96,iqdwmigj,02-02-2017,0
2207,900,phcvroct,03-11-2016,1
1985,372,phcvroct,01-02-2016,1
3960,314,bhqczwkj,15-03-2017,0
4559,173,wsmblohy,20-03-2017,0
2995,107,ejeyobsm,22-11-2016,0
2785,35,ylpksopb,01-03-2017,0
400,17,yodaczsb,07-06-2014,1
3978,343,bhqczwkj,16-03-2017,0
4009,21,ydqdpmvi,20-03-2017,0
3116,51,siexkzzo,05-03-2017,0
1316,40,ugldwwzf,28-02-2017,0
4202,21,jblrepyr,20-03-2017,0
3372,5,fqsozvpv,13-03-2017,0
1115,26,vcqsbirc,02-12-2015,0
1902,238,phcvroct,14-05-2015,1
229,271,bnivzbfi,20-03-2017,0
3106,35,siexkzzo,21-12-2016,0
2951,55,ejeyobsm,17-03-2017,0
4219,290,jblrepyr,19-01-2017,0
2460,263,rcwkfavv,15-03-2017,0
3529,140,vwcdylha,05-09-2016,0
1015,232,ewpvmfbc,22-11-2016,0
4709,508,wsmblohy,17-03-2017,0
1078,96,rujnkvse,14-03-2017,0
159,184,bnivzbfi,20-03-2017,0
4458,26,wsmblohy,20-03-2017,0
3435,10,vwcdylha,05-09-2016,0
2005,421,phcvroct,19-03-2015,0
3923,261,bhqczwkj,09-03-2017,0
1410,174,ugldwwzf,20-03-2017,0
921,104,ewpvmfbc,18-11-2016,0
2182,859,phcvroct,01-10-2016,1
4808,821,wsmblohy,20-03-2017,0
3884,216,bhqczwkj,23-12-2016,0
259,314,bnivzbfi,09-12-2016,0
1416,182,ugldwwzf,17-03-2017,0
918,101,ewpvmfbc,21-11-2016,0
199,236,bnivzbfi,20-03-2017,0
4254,75,jblrepyr,12-11-2016,0
4268,101,jblrepyr,16-03-2017,0
4174,222,ydqdpmvi,16-03-2017,0
835,161,ocsicwng,06-03-2017,0
3672,7,lydqevjo,31-01-2016,0
2138,738,phcvroct,15-02-2017,0
4744,579,wsmblohy,20-03-2017,0
1128,2,iqdwmigj,04-02-2017,0
1032,22,rujnkvse,20-03-2017,0
3089,17,siexkzzo,16-03-2017,0
50,40,bnivzbfi,25-10-2016,0
4510,70,wsmblohy,20-03-2017,0
1445,34,xccmgbjz,09-12-2016,0
1561,47,phcvroct,20-03-2017,0
114,122,bnivzbfi,14-03-2017,0
2127,677,phcvroct,02-03-2017,0
3213,170,siexkzzo,22-11-2016,0
1139,21,iqdwmigj,20-02-2017,0
453,44,yodaczsb,16-09-2016,1
2196,877,phcvroct,30-09-2016,1
2381,153,rcwkfavv,21-09-2016,0
2376,147,rcwkfavv,22-11-2016,0
2554,57,ujplihug,13-12-2016,0
1947,298,phcvroct,12-11-2015,1
1282,8,ugldwwzf,20-03-2017,0
3366,390,siexkzzo,11-03-2017,0
848,176,ocsicwng,17-03-2017,0
1360,105,ugldwwzf,12-08-2016,0
4541,150,wsmblohy,17-03-2017,0
3390,23,fqsozvpv,13-03-2017,0
4024,39,ydqdpmvi,20-03-2017,0
3804,111,bhqczwkj,15-02-2017,0
1014,231,ewpvmfbc,07-10-2016,1
200,237,bnivzbfi,20-03-2017,0
3037,13,lgqwnfsg,17-03-2017,0
3578,2,ojidyfnn,13-06-2016,0
1607,71,phcvroct,29-09-2016,1
808,119,ocsicwng,17-03-2017,0
1054,59,rujnkvse,19-03-2017,0
3165,112,siexkzzo,17-03-2017,0
4667,412,wsmblohy,03-03-2017,1
3437,12,vwcdylha,08-05-2016,0
292,371,bnivzbfi,14-01-2017,0
3571,195,vwcdylha,02-05-2016,0
2332,92,rcwkfavv,19-03-2017,0
4531,128,wsmblohy,03-03-2017,1
527,84,yodaczsb,16-09-2016,1
3506,111,vwcdylha,10-05-2016,0
4374,14,rcyiinms,13-02-2017,0
4789,802,wsmblohy,20-03-2017,0
3149,93,siexkzzo,01-10-2016,0
2580,93,ujplihug,23-11-2016,0
622,158,yodaczsb,23-01-2017,1
3485,81,vwcdylha,20-10-2016,0
1951,307,phcvroct,14-08-2015,1
4123,152,ydqdpmvi,20-03-2017,0
2132,707,phcvroct,09-02-2017,0
1847,197,phcvroct,01-10-2016,1
3935,275,bhqczwkj,17-03-2017,0
4314,188,jblrepyr,07-10-2016,0
17,520,bnivzbfi,15-03-2017,0
2637,167,ujplihug,13-02-2017,1
171,200,bnivzbfi,10-03-2016,0
4764,646,wsmblohy,11-03-2017,0
2184,862,phcvroct,20-03-2017,0
4335,230,jblrepyr,13-03-2017,0
191,225,bnivzbfi,20-03-2017,0
1409,173,ugldwwzf,17-02-2017,0
3064,44,lgqwnfsg,20-03-2017,0
3607,36,ojidyfnn,26-05-2016,0
3466,48,vwcdylha,01-07-2016,0
2897,50,dmgwoqhz,20-03-2017,0
2496,322,rcwkfavv,31-12-2016,1
1294,14,ugldwwzf,03-03-2017,0
482,60,yodaczsb,22-02-2017,0
4586,215,wsmblohy,20-03-2017,0
568,105,yodaczsb,21-10-2016,1
2032,473,phcvroct,28-10-2015,1
2824,91,ylpksopb,24-12-2016,0
3494,92,vwcdylha,31-03-2016,0
3143,86,siexkzzo,18-03-2017,0
1629,82,phcvroct,20-03-2017,0
2217,920,phcvroct,10-10-2016,1
2616,143,ujplihug,19-03-2017,0
4030,45,ydqdpmvi,20-03-2017,0
3251,226,siexkzzo,10-03-2017,0
1204,136,iqdwmigj,28-02-2017,0
2416,195,rcwkfavv,10-10-2016,0
2528,9,ujplihug,16-03-2017,0
3867,196,bhqczwkj,20-03-2017,0
4812,825,wsmblohy,17-03-2017,0
864,9,ewpvmfbc,22-11-2016,0
2551,51,ujplihug,18-03-2017,0
2893,46,dmgwoqhz,20-03-2017,0
4001,12,ydqdpmvi,27-02-2017,0
1354,97,ugldwwzf,10-03-2017,0
138,152,bnivzbfi,20-03-2017,0
2810,66,ylpksopb,06-03-2017,0
849,177,ocsicwng,20-03-2017,0
3124,59,siexkzzo,01-03-2017,0
3751,40,bhqczwkj,17-01-2017,0
455,45,yodaczsb,06-05-2016,0
4303,169,jblrepyr,17-12-2016,0
3283,271,siexkzzo,30-06-2016,0
677,250,yodaczsb,17-11-2016,1
2909,10,ejeyobsm,16-03-2016,0
1948,301,phcvroct,05-04-2016,1
822,143,ocsicwng,20-01-2017,0
4640,336,wsmblohy,20-03-2017,0
2243,962,phcvroct,15-03-2017,0
3308,310,siexkzzo,27-06-2016,0
928,112,ewpvmfbc,27-08-2016,0
3534,146,vwcdylha,14-11-2016,0
3809,117,bhqczwkj,17-02-2017,0
