id,comp,left,Reused_id,1_ratings,2_ratings,3_ratings,4_ratings,total_num_ratings,lastrating,Delta_days,Supported,Opposed,1_reviews_supported,1_reviews_opposed,2_reviews_supported,2_reviews_opposed,3_reviews_supported,3_reviews_opposed,4_reviews_supported,4_reviews_opposed,total_opp,total_supp,Reliability,NonReliability,Reliability_factor
0,0.0661764705882353,0,0.0,0.25,0.25,0.25,0.25,4.0,4,283,6.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,15,2,0.8823529411764706
4,0.0661764705882353,0,0.0,0.0,0.13636363636363635,0.2727272727272727,0.5909090909090909,22.0,4,92,6.0,5.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.6666666666666666,0.5,2.0,3.0,30,8,0.7894736842105263
6,0.0661764705882353,0,0.0,0.015384615384615385,0.02564102564102564,0.046153846153846156,0.9128205128205128,195.0,4,0,210.0,30.0,0.15151515151515152,0.16666666666666666,0.09090909090909091,0.08333333333333333,0.21212121212121213,0.3333333333333333,0.5454545454545454,0.4166666666666667,12.0,66.0,80,10,0.8888888888888888
7,0.0661764705882353,0,0.0,0.13793103448275862,0.1724137931034483,0.4482758620689655,0.2413793103448276,29.0,4,0,37.0,5.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3888888888888889,0.6666666666666666,3.0,18.0,69,32,0.6831683168316832
8,0.0661764705882353,1,1.0,0.06666666666666667,0.2,0.6,0.13333333333333333,15.0,3,2,38.0,1.0,0.4166666666666667,0.5,0.0,0.08333333333333333,0.08333333333333333,0.0,0.5,0.4166666666666667,0.0,12.0,65,72,0.4744525547445255
9,0.0661764705882353,0,0.0,0.023809523809523808,0.047619047619047616,0.8095238095238095,0.11904761904761904,42.0,3,123,16.0,2.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,7.0,14,3,0.8235294117647058
10,0.0661764705882353,0,0.0,0.0,0.0,0.625,0.375,16.0,3,61,0.0,1.0,0.0,0.375,0.0,0.625,0.625,0.0,0.375,0.0,0.0,0.0,0,0,0.5
12,0.0661764705882353,0,0.0,0.1111111111111111,0.1111111111111111,0.06349206349206349,0.7142857142857143,63.0,4,184,100.0,2.0,0.21739130434782608,0.0,0.10869565217391304,0.0,0.10869565217391304,0.0,0.5652173913043478,1.0,1.0,46.0,318,78,0.803030303030303
13,0.0661764705882353,0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,56.0,3,31,6.0,2.0,0.25,0.25,0.0,0.5,0.5,0.0,0.25,0.25,0.0,4.0,0,0,0.5
15,0.0661764705882353,0,0.0,0.018867924528301886,0.1320754716981132,0.018867924528301886,0.8301886792452831,53.0,4,62,84.0,8.0,0.21739130434782608,0.2,0.043478260869565216,0.0,0.17391304347826086,0.6,0.5652173913043478,0.2,5.0,23.0,81,35,0.6982758620689655
16,0.0661764705882353,0,0.0,0.0,0.06896551724137931,0.27586206896551724,0.6551724137931034,29.0,3,319,14.0,2.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,1.0,1.0,6.0,31,0,1.0
17,0.0661764705882353,0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.7272727272727273,22.0,4,31,2.0,0.0,0.0,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.0,0.0,0.0,35,5,0.875
18,0.0661764705882353,0,0.0,0.0,0.0,0.0,1.0,3.0,4,396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.5
19,0.0661764705882353,0,0.0,0.0,0.05357142857142857,0.4107142857142857,0.5357142857142857,56.0,4,61,29.0,6.0,0.23076923076923078,1.0,0.15384615384615385,0.0,0.38461538461538464,0.0,0.23076923076923078,0.0,3.0,13.0,8,10,0.4444444444444444
20,0.0661764705882353,0,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453,11.0,3,394,23.0,2.0,0.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.7777777777777778,0.0,1.0,9.0,41,2,0.9534883720930233
21,0.0661764705882353,0,0.0,0.16666666666666666,0.2777777777777778,0.2222222222222222,0.3333333333333333,18.0,1,0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,41,12,0.7735849056603774
22,0.0661764705882353,0,0.0,0.11594202898550725,0.08695652173913043,0.11594202898550725,0.6811594202898551,69.0,4,62,67.0,29.0,0.13636363636363635,0.3333333333333333,0.18181818181818182,0.25,0.18181818181818182,0.16666666666666666,0.5,0.25,12.0,22.0,121,59,0.6722222222222223
23,0.0661764705882353,0,0.0,0.15789473684210525,0.25,0.4342105263157895,0.15789473684210525,76.0,3,32,244.0,57.0,0.16981132075471697,0.34782608695652173,0.1509433962264151,0.043478260869565216,0.1320754716981132,0.13043478260869565,0.5471698113207547,0.4782608695652174,23.0,106.0,300,111,0.7299270072992701
24,0.0661764705882353,1,1.0,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,9.0,3,396,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,0,0.5
25,0.0661764705882353,0,0.0,0.14444444444444443,0.06666666666666667,0.022222222222222223,0.7666666666666667,90.0,1,290,206.0,46.0,0.1038961038961039,0.09523809523809523,0.12987012987012986,0.23809523809523808,0.16883116883116883,0.19047619047619047,0.5974025974025974,0.47619047619047616,21.0,77.0,681,163,0.806872037914692
26,0.0661764705882353,0,0.0,0.0,0.0,0.5,0.5,6.0,4,396,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1,0,1.0
27,0.0661764705882353,0,0.0,0.0,0.0,0.0,1.0,27.0,4,62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.5
29,0.0661764705882353,0,0.0,0.07,0.4,0.31,0.22,100.0,2,2,969.0,150.0,0.17201166180758018,0.22580645161290322,0.11370262390670553,0.0967741935483871,0.20408163265306123,0.1774193548387097,0.5102040816326531,0.5,62.0,343.0,747,214,0.777315296566077
30,0.0661764705882353,0,0.0,0.0,0.0,0.42105263157894735,0.5789473684210527,19.0,4,0,27.0,1.0,0.26666666666666666,1.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.5333333333333333,0.0,1.0,15.0,43,1,0.9772727272727273
33,0.0661764705882353,1,0.0,0.26865671641791045,0.04477611940298507,0.5970149253731343,0.08955223880597014,67.0,4,362,49.0,11.0,0.05,0.2,0.05,0.0,0.3,0.6,0.6,0.2,5.0,20.0,133,37,0.7823529411764706
34,0.0661764705882353,0,0.0,0.0,0.017857142857142856,0.7142857142857143,0.26785714285714285,56.0,4,91,84.0,6.0,0.13513513513513514,0.5,0.08108108108108109,0.0,0.05405405405405406,0.0,0.7297297297297297,0.5,2.0,37.0,31,4,0.8857142857142857
35,0.0661764705882353,0,0.0,0.017326732673267328,0.06683168316831684,0.2698019801980198,0.6460396039603961,404.0,4,0,1454.0,413.0,0.10884353741496598,0.29775280898876405,0.05782312925170068,0.15168539325842698,0.16326530612244897,0.1853932584269663,0.6700680272108843,0.3651685393258427,178.0,588.0,478,124,0.7940199335548173
37,0.0661764705882353,0,0.0,0.17557251908396945,0.29770992366412213,0.5076335877862596,0.019083969465648856,262.0,3,2,67.0,16.0,0.10526315789473684,0.2222222222222222,0.05263157894736842,0.0,0.2631578947368421,0.1111111111111111,0.5789473684210527,0.6666666666666666,9.0,19.0,2,0,1.0
38,0.0661764705882353,0,0.0,0.0,0.0,0.0,1.0,14.0,4,0,116.0,14.0,0.15384615384615385,0.1111111111111111,0.09615384615384616,0.1111111111111111,0.1346153846153846,0.2222222222222222,0.6153846153846154,0.5555555555555556,9.0,52.0,75,9,0.8928571428571429
39,0.0661764705882353,0,0.0,0.0,0.016129032258064516,0.0,0.9838709677419355,124.0,4,291,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0,0,0.5
40,0.0661764705882353,0,0.0,0.0,0.0,0.0,1.0,3.0,4,258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,2,0.7142857142857143
41,0.0661764705882353,0,0.0,0.0,0.043795620437956206,0.29927007299270075,0.656934306569343,137.0,4,2,4.0,7.0,0.0,1.0,0.043795620437956206,0.0,0.29927007299270075,0.0,0.656934306569343,0.0,1.0,0.0,44,1,0.9777777777777777
42,0.0661764705882353,0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,45.0,4,92,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,34,2,0.9444444444444444
44,0.0661764705882353,0,0.0,0.0,0.0,0.0,1.0,53.0,4,0,667.0,184.0,0.07553956834532374,0.2972972972972973,0.06115107913669065,0.13513513513513514,0.14028776978417265,0.21621621621621623,0.7230215827338129,0.35135135135135137,74.0,278.0,356,34,0.9128205128205128
46,0.0661764705882353,0,0.0,0.0,0.0,0.003952569169960474,0.9960474308300395,253.0,4,0,457.0,97.0,0.07772020725388601,0.2564102564102564,0.05699481865284974,0.10256410256410256,0.16580310880829016,0.10256410256410256,0.6994818652849741,0.5384615384615384,39.0,193.0,229,20,0.9196787148594378
48,0.0661764705882353,0,0.0,0.0,0.009433962264150943,0.5283018867924528,0.46226415094339623,212.0,3,0,261.0,58.0,0.03571428571428571,0.07692307692307693,0.017857142857142856,0.15384615384615385,0.08035714285714286,0.34615384615384615,0.8660714285714286,0.4230769230769231,26.0,112.0,1,2,0.3333333333333333
50,0.0661764705882353,0,0.0,0.0,1.0,0.0,0.0,2.0,2,404,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.5
